nombre_original_agenda,doctor,area,tipo_turno,dia,hora_inicio,hora_fin,efector
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - PROGRAMADA,MARTINEZ LILIANA,ODONTOLOGIA,PROGRAMADA,Martes,08:00,12:00,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - PROGRAMADA,MARTINEZ LILIANA,ODONTOLOGIA,PROGRAMADA,Lunes,08:00,14:40,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - PROGRAMADA,MARTINEZ LILIANA,ODONTOLOGIA,PROGRAMADA,Miércoles,08:00,12:00,CAPS Bajo Boulogne
GINECOLOGIA DRA. VALLEJOS SOLEDAD - DIU,VALLEJOS SOLEDAD,GINECOLOGIA,,Martes,14:00,14:40,CAPS Bajo Boulogne
GINECOLOGIA - DRA. LADOUX AGUSTINA - DIU,LADOUX AGUSTINA,GINECOLOGIA,,Martes,08:40,09:20,CAPS Bajo Boulogne
GINECOLOGIA - DRA. BONINI MARTA,BONINI MARTA,GINECOLOGIA,,Lunes,08:00,16:00,CAPS Bajo Boulogne
GINECOLOGIA - DRA. PARDO LUANA,PARDO LUANA,GINECOLOGIA,,Jueves,14:00,17:40,CAPS Bajo Boulogne
GINECOLOGIA - DRA. GONZALEZ MELISA,GONZALEZ MELISA,GINECOLOGIA,,Miércoles,14:00,17:40,CAPS Bajo Boulogne
MEDICO CLINICO - DR. PORTA ESTEBAN - PROGRAMADA,PORTA ESTEBAN,CLINICA MEDICA,PROGRAMADA,Lunes,09:00,12:00,CAPS Bajo Boulogne
MEDICO CLINICO - DR. PORTA ESTEBAN - PROGRAMADA,PORTA ESTEBAN,CLINICA MEDICA,PROGRAMADA,Miércoles,09:00,13:00,CAPS Bajo Boulogne
MEDICO CLINICO - DR. PORTA ESTEBAN - PROGRAMADA,PORTA ESTEBAN,CLINICA MEDICA,PROGRAMADA,Viernes,09:00,14:00,CAPS Bajo Boulogne
MEDICO CLINICO - DR. MARRASSINI NICOLAS - PROGRAMADA,MARRASSINI NICOLAS,CLINICA MEDICA,PROGRAMADA,Lunes,09:00,13:00,CAPS Bajo Boulogne
MEDICO CLINICO - DR. MARRASSINI NICOLAS - PROGRAMADA,MARRASSINI NICOLAS,CLINICA MEDICA,PROGRAMADA,Martes,10:00,11:30,CAPS Bajo Boulogne
MEDICO CLINICO - DR. MARRASSINI NICOLAS - PROGRAMADA,MARRASSINI NICOLAS,CLINICA MEDICA,PROGRAMADA,Miércoles,08:00,11:00,CAPS Bajo Boulogne
MEDICO CLINICO - DR. MARRASSINI NICOLAS - PROGRAMADA,MARRASSINI NICOLAS,CLINICA MEDICA,PROGRAMADA,Jueves,10:00,12:45,CAPS Bajo Boulogne
MEDICO CLINICO - DRA. ORTIZ YULIANA - PROGRAMADA,ORTIZ YULIANA,CLINICA MEDICA,PROGRAMADA,Lunes,09:00,12:00,CAPS Bajo Boulogne
MEDICO CLINICO - DRA. ORTIZ YULIANA - PROGRAMADA,ORTIZ YULIANA,CLINICA MEDICA,PROGRAMADA,Martes,08:00,12:00,CAPS Bajo Boulogne
MEDICO CLINICO - DRA. ORTIZ YULIANA - PROGRAMADA,ORTIZ YULIANA,CLINICA MEDICA,PROGRAMADA,Miércoles,08:00,11:00,CAPS Bajo Boulogne
MEDICO CLINICO - DRA. ORTIZ YULIANA - PROGRAMADA,ORTIZ YULIANA,CLINICA MEDICA,PROGRAMADA,Jueves,09:00,12:00,CAPS Bajo Boulogne
MEDICO CLINICO - DRA. ORTIZ YULIANA - PROGRAMADA,ORTIZ YULIANA,CLINICA MEDICA,PROGRAMADA,Viernes,08:00,11:00,CAPS Bajo Boulogne
NUTRICIONISTA - DIZ MARIANA - GENERAL,,NUTRICION,GENERAL,Jueves,10:00,14:00,CAPS Bajo Boulogne
NUTRICIONISTA - DRA. MARTINEZ NOELIA - GENERAL,MARTINEZ NOELIA,NUTRICION,GENERAL,Miércoles,10:00,11:30,CAPS Bajo Boulogne
TRABAJO SOCIAL - SANTILLAN LUCIA,SANTILLAN LUCIA,SERVICIO SOCIAL,,Jueves,09:00,13:00,CAPS Bajo Boulogne
TRABAJO SOCIAL - SANTILLAN LUCIA,SANTILLAN LUCIA,SERVICIO SOCIAL,,Viernes,09:00,13:00,CAPS Bajo Boulogne
PSIQUIATRIA ADULTOS - DR. DUSIO FRANCISCO,DUSIO FRANCISCO,PSIQUIATRIA,,Lunes,08:30,14:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. MARCHESE LAURA,MARCHESE LAURA,PSICOLOGIA,,Lunes,11:00,17:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. MARCHESE LAURA,MARCHESE LAURA,PSICOLOGIA,,Miércoles,13:00,17:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. TOGNON ANDREA,TOGNON ANDREA,PSICOLOGIA,,Miércoles,11:30,13:30,CAPS Bajo Boulogne
PSICOLOGA - DRA. TOGNON ANDREA,TOGNON ANDREA,PSICOLOGIA,,Jueves,14:30,17:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. DI SANTO GABRIELA,DI SANTO GABRIELA,PSICOLOGIA,,Lunes,08:00,14:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. DI SANTO GABRIELA,DI SANTO GABRIELA,PSICOLOGIA,,Martes,08:00,14:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. DI SANTO GABRIELA,DI SANTO GABRIELA,PSICOLOGIA,,Miércoles,08:00,16:20,CAPS Bajo Boulogne
PSICOLOGA - DRA. CARRARA LILIANA,CARRARA LILIANA,PSICOLOGIA,,Miércoles,08:00,13:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. CARRARA LILIANA,CARRARA LILIANA,PSICOLOGIA,,Miércoles,13:00,16:00,CAPS Bajo Boulogne
PSICOLOGO - DR. DOTTORI AGUSTIN,DOTTORI AGUSTIN,PSICOLOGIA,,Lunes,08:00,14:00,CAPS Bajo Boulogne
PSICOLOGO - DR. DOTTORI AGUSTIN,DOTTORI AGUSTIN,PSICOLOGIA,,Jueves,08:00,14:00,CAPS Bajo Boulogne
ECOGRAFIAS - DR. MIRETTI MARCELO,MIRETTI MARCELO,ECOGRAFIA,,Jueves,12:00,14:50,CAPS Bajo Boulogne
DIRECTOR MEDICO - DR. ISHII GUILLERMO - ESPONTANEA,ISHII GUILLERMO,DIRECCION MEDICA,ESPONTANEA,Lunes,08:00,14:00,CAPS Bajo Boulogne
DIRECTOR MEDICO - DR. ISHII GUILLERMO - ESPONTANEA,ISHII GUILLERMO,DIRECCION MEDICA,ESPONTANEA,Martes,08:00,14:00,CAPS Bajo Boulogne
DIRECTOR MEDICO - DR. ISHII GUILLERMO - ESPONTANEA,ISHII GUILLERMO,DIRECCION MEDICA,ESPONTANEA,Miércoles,08:00,14:00,CAPS Bajo Boulogne
DIRECTOR MEDICO - DR. ISHII GUILLERMO - ESPONTANEA,ISHII GUILLERMO,DIRECCION MEDICA,ESPONTANEA,Jueves,08:00,14:00,CAPS Bajo Boulogne
DIRECTOR MEDICO - DR. ISHII GUILLERMO - ESPONTANEA,ISHII GUILLERMO,DIRECCION MEDICA,ESPONTANEA,Viernes,08:00,14:00,CAPS Bajo Boulogne
GINECOLOGIA DRA. LADOUX AGUSTINA - IMPLANTE EXTRACCION,LADOUX AGUSTINA,GINECOLOGIA,,Martes,08:20,08:40,CAPS Bajo Boulogne
GINECOLOGIA DRA. LADOUX AGUSTINA - IMPLANTE COLOCACION,LADOUX AGUSTINA,GINECOLOGIA,,Martes,08:00,08:20,CAPS Bajo Boulogne
GINECOLOGIA DRA. LADOUX AGUSTINA - PROGRAMADA,LADOUX AGUSTINA,GINECOLOGIA,PROGRAMADA,Martes,09:30,14:00,CAPS Bajo Boulogne
GINECOLOGIA DRA. VALLEJOS SOLEDAD - PROGRAMADA,VALLEJOS SOLEDAD,GINECOLOGIA,PROGRAMADA,Martes,15:20,18:00,CAPS Bajo Boulogne
GINECOLOGIA DRA. VALLEJOS SOLEDAD - IMPLANTE EXTRACCION,VALLEJOS SOLEDAD,GINECOLOGIA,,Martes,15:00,15:20,CAPS Bajo Boulogne
GINECOLOGIA DRA. VALLEJOS SOLEDAD - IMPLANTE COLOCACION,VALLEJOS SOLEDAD,GINECOLOGIA,,Martes,14:40,15:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. MARRASSINI NICOLAS - ESPONTANEA,MARRASSINI NICOLAS,CLINICA MEDICA,ESPONTANEA,Lunes,08:00,09:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. MARRASSINI NICOLAS - ESPONTANEA,MARRASSINI NICOLAS,CLINICA MEDICA,ESPONTANEA,Martes,09:00,10:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. MARRASSINI NICOLAS - ESPONTANEA,MARRASSINI NICOLAS,CLINICA MEDICA,ESPONTANEA,Miércoles,11:00,13:40,CAPS Bajo Boulogne
MEDICO CLINICO DR. MARRASSINI NICOLAS - ESPONTANEA,MARRASSINI NICOLAS,CLINICA MEDICA,ESPONTANEA,Jueves,10:00,10:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. PORTA ESTEBAN - ESPONTANEA,PORTA ESTEBAN,CLINICA MEDICA,ESPONTANEA,Lunes,08:00,09:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. PORTA ESTEBAN - ESPONTANEA,PORTA ESTEBAN,CLINICA MEDICA,ESPONTANEA,Miércoles,08:00,09:00,CAPS Bajo Boulogne
MEDICO CLINICO DR. PORTA ESTEBAN - ESPONTANEA,PORTA ESTEBAN,CLINICA MEDICA,ESPONTANEA,Viernes,08:00,09:00,CAPS Bajo Boulogne
MEDICO CLINICO DRA. ORTIZ YULIANA - ESPONTANEA,ORTIZ YULIANA,CLINICA MEDICA,ESPONTANEA,Martes,08:00,09:00,CAPS Bajo Boulogne
MEDICO CLINICO DRA. ORTIZ YULIANA - ESPONTANEA,ORTIZ YULIANA,CLINICA MEDICA,ESPONTANEA,Jueves,08:00,09:00,CAPS Bajo Boulogne
NUTRICIONISTA. DIZ MARIANA - TRATAMIENTO,,NUTRICION,TRATAMIENTO,Jueves,08:00,10:00,CAPS Bajo Boulogne
NUTRICIONISTA - DRA. MARTINEZ NOELIA - TRATAMIENTO,MARTINEZ NOELIA,NUTRICION,TRATAMIENTO,Miércoles,08:00,10:00,CAPS Bajo Boulogne
ODONTOLOGIA - DRA. AGUIRRE MARCELA - ESPONTANEA,AGUIRRE MARCELA,ODONTOLOGIA,ESPONTANEA,Jueves,14:40,16:00,CAPS Bajo Boulogne
ODONTOLOGIA - DRA. MARTINEZ LILIANA - ESPONTANEA,MARTINEZ LILIANA,ODONTOLOGIA,ESPONTANEA,Martes,12:40,16:00,CAPS Bajo Boulogne
ODONTOLOGIA INFANTIL - DRA. MARTINEZ LILIANA - PROGRAMADA,MARTINEZ LILIANA,ODONTOLOGIA,PROGRAMADA,Miércoles,12:00,14:40,CAPS Bajo Boulogne
PEDIATRIA - DRA. BUTRON NATALIA - ESPONTANEA,BUTRON NATALIA,PEDIATRIA,ESPONTANEA,Lunes,08:00,10:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. BUTRON NATALIA - ESPONTANEA,BUTRON NATALIA,PEDIATRIA,ESPONTANEA,Jueves,08:00,10:00,CAPS Bajo Boulogne
PEDIATRIA - DR. VARELA EZEQUIEL - ESPONTANEA,VARELA EZEQUIEL,PEDIATRIA,ESPONTANEA,Lunes,12:00,13:00,CAPS Bajo Boulogne
PEDIATRIA - DR. VARELA EZEQUIEL - ESPONTANEA,VARELA EZEQUIEL,PEDIATRIA,ESPONTANEA,Sábado,08:00,09:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - ESPONTANEA,CHIFFLET MARIA,PEDIATRIA,ESPONTANEA,Lunes,14:30,16:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - ESPONTANEA,CHIFFLET MARIA,PEDIATRIA,ESPONTANEA,Miércoles,08:00,09:30,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - ESPONTANEA,CHIFFLET MARIA,PEDIATRIA,ESPONTANEA,Viernes,12:30,15:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - RECITADOS,CHIFFLET MARIA,PEDIATRIA,,Lunes,11:00,12:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - RECIEN NACIDOS,CHIFFLET MARIA,PEDIATRIA,,Lunes,10:00,11:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - RECIEN NACIDOS,CHIFFLET MARIA,PEDIATRIA,,Miércoles,09:30,10:30,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - RECIEN NACIDOS,CHIFFLET MARIA,PEDIATRIA,,Viernes,09:00,10:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - ESPONTANEA,PICCOLI SABRINA,ADOLESCENCIA,ESPONTANEA,Miércoles,08:00,09:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - ESPONTANEA,PICCOLI SABRINA,ADOLESCENCIA,ESPONTANEA,Jueves,09:00,10:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - ESPONTANEA,PICCOLI SABRINA,ADOLESCENCIA,ESPONTANEA,Viernes,09:00,10:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. TOGNON ANDREA - REUNION EQUIPO,TOGNON ANDREA,PSICOLOGIA,,Miércoles,13:30,17:00,CAPS Bajo Boulogne
PSICOLOGA - DRA. TOGNON ANDREA - REUNION EQUIPO,TOGNON ANDREA,PSICOLOGIA,,Miércoles,14:30,17:30,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - PROGRAMADA,CARNA FLORENCIA,PEDIATRIA,PROGRAMADA,Martes,10:00,14:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - PROGRAMADA,CARNA FLORENCIA,PEDIATRIA,PROGRAMADA,Jueves,09:00,12:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - PROGRAMADA,CARNA FLORENCIA,PEDIATRIA,PROGRAMADA,Viernes,10:00,13:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - ESPONTANEA,CARNA FLORENCIA,PEDIATRIA,ESPONTANEA,Martes,08:00,09:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - ESPONTANEA,CARNA FLORENCIA,PEDIATRIA,ESPONTANEA,Jueves,08:00,09:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CARNA FLORENCIA - ESPONTANEA,CARNA FLORENCIA,PEDIATRIA,ESPONTANEA,Viernes,09:00,10:00,CAPS Bajo Boulogne
OBSTETRICIA - DRA. MANCINELLI ESTELA,MANCINELLI ESTELA,OBSTETRICIA,,Lunes,11:00,17:00,CAPS Bajo Boulogne
ESTIMULACION TEMPRANA - DRA. MUÃ‘OZ INES,MUÃ‘OZ INES,ESTIMULACION TEMPRANA,,Lunes,08:00,16:00,CAPS Bajo Boulogne
ESTIMULACION TEMPRANA - DRA. MUÃ‘OZ INES,MUÃ‘OZ INES,ESTIMULACION TEMPRANA,,Miércoles,08:00,16:00,CAPS Bajo Boulogne
OBSTETRICIA - DR. ZANABRIA ADALBERTO,ZANABRIA ADALBERTO,OBSTETRICIA,,Miércoles,14:00,18:00,CAPS Bajo Boulogne
NUTRICIONISTA - DRA. OSSO MUÃ‘OZ - TRATAMIENTO,OSSO MUÃ‘OZ,NUTRICION,TRATAMIENTO,Miércoles,08:00,10:00,CAPS Bajo Boulogne
NUTRICIONISTA - DRA. OSSO MUÃ‘OZ - GENERAL,OSSO MUÃ‘OZ,NUTRICION,GENERAL,Miércoles,10:00,11:30,CAPS Bajo Boulogne
CARDIOLOGIA - ECG PROGRAMADA,ECG PROGRAMADA,CARDIOLOGIA,PROGRAMADA,Martes,09:30,11:30,CAPS Bajo Boulogne
CARDIOLOGIA - ECG PROGRAMADA,ECG PROGRAMADA,CARDIOLOGIA,PROGRAMADA,Jueves,09:30,11:30,CAPS Bajo Boulogne
CARDIOLOGIA - ECG - ESPONTANEA,,CARDIOLOGIA,ESPONTANEA,Martes,09:30,11:30,CAPS Bajo Boulogne
CARDIOLOGIA - ECG - ESPONTANEA,,CARDIOLOGIA,ESPONTANEA,Jueves,09:30,11:30,CAPS Bajo Boulogne
PSICOFISICO - DRA. DI SANTO,DI SANTO,PSICOFISICO,,Miércoles,11:00,13:00,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL,MARTINEZ LILIANA - EVENTUAL,ODONTOLOGIA,,Martes,12:00,14:40,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL,MARTINEZ LILIANA - EVENTUAL,ODONTOLOGIA,,Jueves,12:00,14:40,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL,MARTINEZ LILIANA - EVENTUAL,ODONTOLOGIA,,Viernes,08:00,14:40,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL ESPONTANEA,MARTINEZ LILIANA - EVENTUAL ESPONTANEA,ODONTOLOGIA,ESPONTANEA,Martes,14:40,16:00,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL ESPONTANEA,MARTINEZ LILIANA - EVENTUAL ESPONTANEA,ODONTOLOGIA,ESPONTANEA,Jueves,14:40,16:00,CAPS Bajo Boulogne
ODONTOLOGIA ADULTO - DRA. MARTINEZ LILIANA - EVENTUAL ESPONTANEA,MARTINEZ LILIANA - EVENTUAL ESPONTANEA,ODONTOLOGIA,ESPONTANEA,Viernes,14:40,16:00,CAPS Bajo Boulogne
PEDIATRIA DRA. COMMISSI ELISA NOEMÃ_x008d_,COMMISSI ELISA NOEMÍ,PEDIATRIA,,Lunes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. COMMISSI ELISA NOEMÃ_x008d_,COMMISSI ELISA NOEMÍ,PEDIATRIA,,Lunes,13:00,16:00,CAPS Barrio Obrero
PEDIATRIA DRA. COMMISSI ELISA NOEMÃ_x008d_,COMMISSI ELISA NOEMÍ,PEDIATRIA,,Martes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. COMMISSI ELISA NOEMÃ_x008d_,COMMISSI ELISA NOEMÍ,PEDIATRIA,,Martes,13:00,16:00,CAPS Barrio Obrero
PEDIATRIA DRA. COMMISSI ELISA NOEMÃ_x008d_,COMMISSI ELISA NOEMÍ,PEDIATRIA,,Jueves,13:00,16:00,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Lunes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Lunes,13:00,14:00,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Martes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Martes,13:00,16:00,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Jueves,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. TABOADA VERÃ“NICA MARIEL,TABOADA VERÓNICA MARIEL,PEDIATRIA,,Jueves,13:00,14:00,CAPS Barrio Obrero
PEDIATRIA DRA. SEVILLA GABRIELA,SEVILLA GABRIELA,PEDIATRIA,,Miércoles,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. SEVILLA GABRIELA,SEVILLA GABRIELA,PEDIATRIA,,Miércoles,13:00,17:00,CAPS Barrio Obrero
PEDIATRIA DRA. SEVILLA GABRIELA,SEVILLA GABRIELA,PEDIATRIA,,Viernes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. SEVILLA GABRIELA,SEVILLA GABRIELA,PEDIATRIA,,Viernes,13:00,16:00,CAPS Barrio Obrero
PEDIATRIA DRA. ALLEVA GRACIELA,ALLEVA GRACIELA,PEDIATRIA,,Miércoles,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. ALLEVA GRACIELA,ALLEVA GRACIELA,PEDIATRIA,,Miércoles,13:40,17:00,CAPS Barrio Obrero
PEDIATRIA DRA. ALLEVA GRACIELA,ALLEVA GRACIELA,PEDIATRIA,,Viernes,09:00,11:30,CAPS Barrio Obrero
PEDIATRIA DRA. ALLEVA GRACIELA,ALLEVA GRACIELA,PEDIATRIA,,Viernes,13:40,17:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. CARAFI SILVIA INÃ‰S,CARAFI SILVIA INÉS,CLINICA MEDICA,,Miércoles,09:00,12:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. CARAFI SILVIA INÃ‰S,CARAFI SILVIA INÉS,CLINICA MEDICA,,Miércoles,12:40,16:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Lunes,09:00,12:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Lunes,12:40,16:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Martes,09:00,12:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Jueves,09:00,12:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Viernes,09:00,12:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Viernes,12:40,16:00,CAPS Barrio Obrero
MEDICO CLINICO DRA. DIEGUEZ GABRIELA,DIEGUEZ GABRIELA,CLINICA MEDICA,,Lunes,14:00,16:00,CAPS Barrio Obrero
GINECOLOGIA DRA. MIRANDA ANA MARIA,MIRANDA ANA MARIA,GINECOLOGIA,,Miércoles,10:00,12:00,CAPS Barrio Obrero
OBSTETRICIA - DRA. BAZZI LORENA,BAZZI LORENA,OBSTETRICIA,,Jueves,08:00,14:00,CAPS Barrio Obrero
ODONTOLOGIA DRA.SALEGEL CAROLINA YAEL,SALEGEL CAROLINA YAEL,ODONTOLOGIA,,Martes,08:30,12:00,CAPS Barrio Obrero
ODONTOLOGIA DRA.SALEGEL CAROLINA YAEL,SALEGEL CAROLINA YAEL,ODONTOLOGIA,,Martes,13:30,15:00,CAPS Barrio Obrero
ODONTOLOGIA DRA.SALEGEL CAROLINA YAEL,SALEGEL CAROLINA YAEL,ODONTOLOGIA,,Jueves,08:30,12:00,CAPS Barrio Obrero
ODONTOLOGIA DRA.SALEGEL CAROLINA YAEL,SALEGEL CAROLINA YAEL,ODONTOLOGIA,,Jueves,13:30,15:00,CAPS Barrio Obrero
LIC. EN PSICOLOGIA BRANCA BENJAMIN,BRANCA BENJAMIN,PSICOLOGIA,,Martes,08:00,12:00,CAPS Barrio Obrero
LIC. EN PSICOLOGIA BRANCA BENJAMIN,BRANCA BENJAMIN,PSICOLOGIA,,Martes,12:30,16:00,CAPS Barrio Obrero
LIC. EN PSICOLOGIA BRANCA BENJAMIN,BRANCA BENJAMIN,PSICOLOGIA,,Jueves,08:00,13:00,CAPS Barrio Obrero
LIC. EN PSICOLOGIA VERON NATALIA,VERON NATALIA,PSICOLOGIA,,Lunes,08:30,12:30,CAPS Barrio Obrero
LIC. EN PSICOLOGIA VERON NATALIA,VERON NATALIA,PSICOLOGIA,,Lunes,13:00,16:00,CAPS Barrio Obrero
LIC. EN PSICOLOGIA VERON NATALIA,VERON NATALIA,PSICOLOGIA,,Jueves,08:30,12:30,CAPS Barrio Obrero
LIC. EN PSICOLOGIA VERON NATALIA,VERON NATALIA,PSICOLOGIA,,Jueves,13:00,16:00,CAPS Barrio Obrero
LIC. EN TRABAJO SOCIAL SANTILLÃ_x0081_N LUCIA,SANTILLÁN LUCIA,SERVICIO SOCIAL,,Martes,08:00,16:00,CAPS Barrio Obrero
GINECOLOGIA - PAP - DRA. MIRANDA ANA MARIA,MIRANDA ANA MARIA,GINECOLOGIA,PAP,Miércoles,08:00,10:00,CAPS Barrio Obrero
